id,created_at,first_name,last_name,email,cell_phone,country,state,street,number,additionals
42,2018-11-30 17:44,Maria,Morais,maria@usuario.com,9 1519-4181,Brasil,Pernambuco,Avenida 69 do Estado Pernambuco,633,
43,2018-04-09 19:12,João,Almeida,joão@usuario.com,9 4650-1753,Brasil,Goiás,Praça 3 do Estado Goiás,986,Apto 9
44,2018-01-07 7:54,Daniela,Lima,,9 1763-2584,Brasil,Rio de Janeiro,,,Apto 20
45,2018-04-08 7:18,Júlia,Costa,júlia@usuario.com,9 5446-9508,Brasil,Rio Grande do Norte,Avenida 46 do Estado Rio Grande do Norte,277,Conjunto 14
46,2018-05-10 23:09,Gerson,Anjos,gerson@meu_email.com,9 1590-8972,Brasil,Mato Grosso do Sul,Avenida 35 do Estado Mato Grosso do Sul,229,Apto 29
47,2018-07-19 8:33,Rafael,Freire,rafael@exemplo.com,9 8703-1006,Brasil,Maranhão,Praça 97 do Estado Maranhão,138,
48,2018-09-01 23:00,Júlia,Castro,júlia@exemplo.com,9 7096-1780,Brasil,Rio de Janeiro,Rua 39 do Estado Rio de Janeiro,983,Conjunto 7
49,2018-05-29 4:22,Clarissa,Albuquerque,clarissa@exemplo.com,9 7403-4273,Brasil,Ceará,,,Apto 12
50,2018-11-01 2:13,Júlia,Sousa,júlia@exemplo.com,9 2094-8467,Brasil,Rondônia,Rua 12 do Estado Rondônia,260,Apto 27
51,2018-08-24 7:52,Beatriz,Monteiro,beatriz@teste.com,9 3570-4464,Brasil,Minas Gerais,Avenida 17 do Estado Minas Gerais,223,Conjunto 22
52,2017-12-26 15:38,Caio,Mendes,caio@teste.com,9 6437-5008,Brasil,Pernambuco,Rua 34 do Estado Pernambuco,931,
53,2017-12-04 17:42,Bruno,Anjos,bruno@teste.com,9 3004-3740,Brasil,Goiás,Rua 53 do Estado Goiás,825,
54,2018-03-25 14:26,Daniela,Mendes,daniela@teste.com,9 3797-3399,Brasil,Pernambuco,Rua 71 do Estado Pernambuco,760,Apto 14
55,2018-01-25 2:11,Diego,Teixeira,diego@exemplo.com,9 5247-1737,Brasil,Pará,Rua 8 do Estado Pará,722,Conjunto 16
56,2018-07-10 18:40,Gabriela,Pires,gabriela@meu_email.com,9 1214-1539,Brasil,Rio de Janeiro,Rua 32 do Estado Rio de Janeiro,838,Apto 29
57,2017-12-01 22:40,Cristiano,Fagundes,cristiano@usuario.com,9 7680-6400,Brasil,Piauí,Avenida 20 do Estado Piauí,236,Apto 30
58,2018-08-23 3:31,Stephanie,Barboza,stephanie@meu_email.com,9 1168-6722,Brasil,Maranhão,Avenida 25 do Estado Maranhão,795,
59,2018-09-13 3:13,Rafael,Rodrigues,rafael@meu_email.com,9 6550-3557,Brasil,Bahia,Praça 94 do Estado Bahia,647,Apto 25
60,2017-12-03 16:24,Stephanie,Freire,stephanie@usuario.com,9 3256-1853,Brasil,São Paulo,Rua 52 do Estado São Paulo,34,Apto 24
61,2018-06-26 18:47,Carol,Bueno,carol@usuario.com,9 9814-4736,Brasil,Santa Catarina,Rua 10 do Estado Santa Catarina,47,Conjunto 12
62,2018-04-30 18:36,Francisco,Abreu,francisco@exemplo.com,9 6754-1775,Brasil,Amapá,Rua 72 do Estado Amapá,50,Apto 12
63,2018-01-21 13:56,Carol,Anjos,carol@usuario.com,9 2123-9306,Brasil,Pernambuco,Praça 12 do Estado Pernambuco,928,Conjunto 26
64,2018-05-05 17:52,Caíque,Batista,caíque@teste.com,9 8818-5886,Brasil,Ceará,Rua 76 do Estado Ceará,239,Apto 19
65,2018-10-30 15:47,Luan,Ramos,luan@exemplo.com,9 6843-3876,Brasil,Pernambuco,Rua 63 do Estado Pernambuco,345,Conjunto 10
66,2018-02-06 5:56,Willian,Freitas,,9 3043-7382,Brasil,Rio de Janeiro,Rua 91 do Estado Rio de Janeiro,96,Apto 7
67,2018-10-18 4:31,Stephanie,Abreu,stephanie@meu_email.com,9 6466-2389,Brasil,Mato Grosso,Rua 19 do Estado Mato Grosso,53,Conjunto 13
68,2018-08-31 18:22,Laura,Pires,laura@meu_email.com,9 8144-6047,Brasil,Mato Grosso do Sul,Praça 23 do Estado Mato Grosso do Sul,47,Apto 7
69,2018-11-14 11:04,José,Pires,josé@usuario.com,9 8189-2149,Brasil,Ceará,Avenida 99 do Estado Ceará,231,
70,2018-02-20 19:16,Gustavo,Cardoso,gustavo@teste.com,9 7594-9211,Brasil,Amazonas,Praça 52 do Estado Amazonas,698,
71,2017-10-22 12:49,Diego,Barboza,,9 4849-7409,Brasil,Mato Grosso do Sul,Avenida 3 do Estado Mato Grosso do Sul,250,
72,2017-12-12 16:16,Gerson,Barroso,gerson@exemplo.com,9 5719-4227,Brasil,Pernambuco,,,Apto 2
73,2018-01-29 3:19,Neymar,Elísio,neymar@teste.com,9 5373-1785,Brasil,Rio Grande do Sul,Rua 49 do Estado Rio Grande do Sul,929,
74,2018-02-03 7:37,Cristiano,Almeida,cristiano@usuario.com,9 2630-9907,Brasil,,,,Conjunto 24
75,2018-04-22 5:00,Júlia,Almeida,júlia@meu_email.com,9 9208-5213,Brasil,Maranhão,Praça 25 do Estado Maranhão,953,Conjunto 4
76,2018-06-21 14:28,Marta,Abreu,,9 9024-3467,Brasil,Roraima,Avenida 67 do Estado Roraima,410,Conjunto 23
77,2018-04-16 4:53,Romário,Rosa,romário@meu_email.com,9 8710-8305,Brasil,Rio Grande do Sul,Praça 75 do Estado Rio Grande do Sul,110,Conjunto 10
78,2018-11-30 10:29,Ana,Monteiro,ana@teste.com,9 3871-4132,Brasil,Bahia,Praça 86 do Estado Bahia,604,Apto 30
79,2017-11-02 22:13,Laura,Queiroz,laura@exemplo.com,9 6338-8617,Brasil,São Paulo,Praça 19 do Estado São Paulo,878,Conjunto 3
80,2017-12-13 8:41,Hélen,Souza,hélen@teste.com,9 9974-1066,Brasil,Paraná,Avenida 20 do Estado Paraná,661,Conjunto 13
81,2018-10-10 0:06,Daniela,Góes,daniela@usuario.com,9 5394-6677,Brasil,Alagoas,Praça 22 do Estado Alagoas,235,
82,2018-01-13 10:35,Alice,Ferreira,alice@teste.com,9 9005-2493,Brasil,Minas Gerais,Praça 53 do Estado Minas Gerais,83,
83,2018-11-04 18:02,Heitor,Rocha,heitor@teste.com,9 3236-7429,Brasil,Espírito Santo,Praça 82 do Estado Espírito Santo,14,
84,2018-01-05 0:15,Frida,Freire,,9 4760-1383,Brasil,Alagoas,Rua 25 do Estado Alagoas,679,Conjunto 9
85,2018-11-01 15:39,Carol,Bueno,carol@meu_email.com,9 3760-2211,Brasil,,,,Conjunto 26
86,2017-11-24 12:44,Eduardo,Teixeira,,9 2537-7930,Brasil,Rio Grande do Norte,,,
87,2018-03-12 9:30,Adalberto,Oliveira,adalberto@teste.com,9 3081-3441,Brasil,Roraima,Rua 40 do Estado Roraima,401,Conjunto 17
88,2018-08-16 20:25,Beatriz,Abreu,beatriz@usuario.com,9 2254-6798,Brasil,Acre,Rua 95 do Estado Acre,482,Conjunto 16
89,2017-10-12 15:17,Rafael,Batista,rafael@usuario.com,9 8656-5668,Brasil,Ceará,Rua 78 do Estado Ceará,787,Apto 3
90,2017-12-07 19:24,Daniela,Pires,daniela@usuario.com,9 6666-2265,Brasil,Bahia,Rua 31 do Estado Bahia,441,
91,2017-12-16 22:14,Stephanie,Rosa,,9 3040-4414,Brasil,Rio Grande do Norte,,,
92,2018-09-12 22:12,Daniel,Costa,daniel@teste.com,9 4761-6557,Brasil,Rio Grande do Norte,Praça 25 do Estado Rio Grande do Norte,281,Apto 8
93,2017-10-16 16:29,Beatriz,Bueno,beatriz@teste.com,9 4435-2960,Brasil,Acre,Rua 71 do Estado Acre,978,Apto 24
94,2018-11-02 8:43,Ronaldo,Galo,ronaldo@meu_email.com,9 8821-9577,Brasil,Pernambuco,Avenida 8 do Estado Pernambuco,758,Apto 2
95,2018-10-29 11:39,Cristiano,Pereira,cristiano@meu_email.com,9 4404-8717,Brasil,Piauí,Praça 100 do Estado Piauí,809,
96,2018-10-01 11:35,Mariana,Rosa,mariana@usuario.com,9 3139-2145,Brasil,,,,
97,2018-01-23 19:14,Paulo,Câmara,paulo@usuario.com,9 4785-1135,Brasil,Sergipe,Praça 73 do Estado Sergipe,219,Apto 6
98,2018-07-04 18:45,Marta,Góes,marta@teste.com,9 4102-4352,Brasil,Paraná,Rua 61 do Estado Paraná,402,Apto 24
99,2018-01-24 16:21,Cibele,Costa,cibele@meu_email.com,9 4211-6968,Brasil,Mato Grosso,Praça 75 do Estado Mato Grosso,24,
100,2018-07-24 8:26,Jéssica,Jesus,jéssica@usuario.com,9 6100-1466,Brasil,Paraná,Avenida 19 do Estado Paraná,738,Conjunto 22
